const	#science has the power to change the world, solve the toughest problems & shape the future. 
down	#nanotechnology or marine #biology? hear what fascinates yara shahidi from #blackishabc via abc television network.
down	#scientist approved! ben & jerry's delivered ice cream in a 100% electric tesla motors vehicle. #saveourswirled
const	lighter, stronger, temperature resistant components for #aircraft engines. #lifewith3m 
const	sustainable brands lists 3m as one of the best companies for reputable corporate social responsibility. 
const	3mers at hq packed 10,000 snack packs during 3m global volunteer day! #lifewith3m #3mgives
const	do you get enough fiber in your #digital #diet? #lifewith3m 
up	#soldiers need defense equipment & #transportation they can count on. #lifewith3m 
up	"before we could save their lives, we had to save their spirits." #the33 #los33
up	#automotive enthusiasts... what can stretch up to 150% w/o lifting & w/o primer? #lifewith3m 
down	#neuroscience can help refine & highlight the visual message you send to the #lifewith3m 
down	where do you use 3m #science in your daily life? #lifewith3m 
up	designing & making a positive impact on the world, every day. #lifewith3m 
up	your eyesight is precious. protect it. #lifewith3m 
const	#coffee experts know that even small impurities are a big deal when it comes to water. #nationalcoffeeday 
down	lights, camera, action! #tbt to the filming of an early #science show called "science as a career for you"
down	tequila, #scientists & sponges. what do the three have in common? 
